product_line,product_family,product_series,product,category_code
Wearable,Watch GT,Aris智能表,WATCH GT 6,wearable
Wearable,Watch GT,Kelo智能表,WATCH GT 6,wearable
Wearable,Band,Talos1智能表,ACME Band 7 Pro v1,wearable
Wearable,Watch Fit,Vireo1智能表,ACME Watch Fit 7 Active v2,wearable
Wearable,Band,Nerio1智能表,ACME Band 7 v3,wearable
Wearable,Watch Fit,Lark1智能表,ACME Watch Fit 7 SE v4,wearable
Wearable,Band,Heron1智能表,ACME Band 8 Pro v1,wearable
Wearable,Watch Fit,Strix1智能表,ACME Watch Fit 8 Active v2,wearable
Wearable,Band,Taiga1智能表,ACME Band 8 v3,wearable
Wearable,Watch Fit,Rigel1智能表,ACME Watch Fit 8 SE v4,wearable
Wearable,Band,Talos2智能表,ACME Band 9 Pro v1,wearable
Wearable,Watch Fit,Vireo2智能表,ACME Watch Fit 9 Active v2,wearable
Wearable,Band,Nerio2智能表,ACME Band 9 v3,wearable
Wearable,Watch Fit,Lark2智能表,ACME Watch Fit 9 SE v4,wearable
Wearable,Band,Heron2智能表,ACME Band 10 Pro v1,wearable
Wearable,Watch Fit,Strix2智能表,ACME Watch Fit 10 Active v2,wearable
Wearable,Band,Taiga2智能表,ACME Band 10 v3,wearable
Wearable,Watch Fit,Rigel2智能表,ACME Watch Fit 10 SE v4,wearable
Wearable,Band,Talos3智能表,ACME Band 11 Pro v1,wearable
Wearable,Watch Fit,Vireo3智能表,ACME Watch Fit 11 Active v2,wearable
Wearable,Band,Nerio3智能表,ACME Band 11 v3,wearable
Wearable,Watch Fit,Lark3智能表,ACME Watch Fit 11 SE v4,wearable
Wearable,Band,Heron3智能表,ACME Band 12 Pro v1,wearable
Wearable,Watch Fit,Strix3智能表,ACME Watch Fit 12 Active v2,wearable
Wearable,Band,Taiga3智能表,ACME Band 12 v3,wearable
Wearable,Watch Fit,Rigel3智能表,ACME Watch Fit 12 SE v4,wearable
Wearable,Band,Talos4智能表,ACME Band 13 Pro v1,wearable
Wearable,Watch Fit,Vireo4智能表,ACME Watch Fit 13 Active v2,wearable
Wearable,Band,Nerio4智能表,ACME Band 13 v3,wearable
Wearable,Watch Fit,Lark4智能表,ACME Watch Fit 13 SE v4,wearable
